Nom;Adresse;Contact;Numero;"Date Ajout"
"You Order";"55 Rue La Boétie, 75008 Paris, France";"Joel Ndombasi";01/01/1970;00:00
"Rice Trotters";"22 Rue du Colisée, Paris, France";"Laurianne Ferté";01/01/1970;00:00
"Comptoir Des Vignes";"8 Rue Brochant, 75017 Paris, France";"Christelle Lafont";01/01/1970;00:00
Igloo;"31 Rue des Jeuneurs, 75002 Paris, France";"Edouard Remise";01/01/1970;00:00
"Bagel Corner 4 Septembre";"24 Rue du 4 Septembre, 75002 Paris, France";"Florent SAUVEUR";01/01/1970;00:00
"TEST JO";"55 Rue La Boétie, Paris, France";;01/01/1970;00:00
Mabento;"35 Cours Michelet, 92800 Puteaux, France";"Thierry Falchero";01/01/1970;00:00
"Les Nouveaux Fromagers";"27 Rue du Chemin Vert, 75011 Paris, France";"Olivier Birade";01/01/1970;00:00
"La Caravane Dorée";"64 Rue Pasteur, 94800 Villejuif, France";"Adrien Dorée";15/09/5303;00:00
"City Chef";"5 Rue Bleue, 75009 Paris, France";"Diane Mironesco";01/01/1970;00:00
"Cook Angels";"54 Rue Laugier, 75017 Paris, France";"Joy Solal";15/09/4821;00:00
"L'Etoile Des Gourmets";"12 Rue des Pommiers, 94300 Vincennes, France";"Mathieu Robbe";01/01/1970;00:00
"Les Petits Donuts";"20 Rue Chanzy, 75011 Paris, France";"Pierre Mentong";01/01/1970;00:00
Eugène;"11 Rue Guillaume Tell, 75017 Paris, France";"Grégoire Touchet";01/01/1970;00:00
"Frichti Sud";"6 Cour Saint-Éloi, 75012 Paris, France";julia@frichti.co;01/01/1970;00:00
Lina's;"37 Rue La Boétie, Paris, France";"Stéphan' Gouin";01/01/1970;00:00
"Factory & Co Bourse";"109 Rue Montmartre, 75002 Paris, France";"Céline Gallardo";01/01/1970;00:00
"Créative Com";"1 Boulevard des Bouvets, Nanterre, France";"Ghislain Crémet";01/01/1970;00:00
"Bagel Corner Godot De Mauroy";"41 Rue Godot de Mauroy, 75008 Paris, France";"Florent SAUVEUR";01/01/1970;00:00
"Bagel Corner Jussieu";"29 Rue Linné, 75005 Paris, France";"Florent SAUVEUR";01/01/1970;00:00
"Bagel Corner Boétie";"19 Rue La Boétie, 75008 Paris, France";"Florent SAUVEUR";01/01/1970;00:00
"Rosa Kiwi";"4 Rue Mouffetard, 75005 Paris, France";victory@rosakiwi.com;01/01/1970;00:00
"test mh2";"25 rue beranger 75010 paris";;01/01/1970;00:00
"test mh";"24 Rue Béranger, Paris, France";;01/01/1970;00:00
"Frichti Nord";"20 Rue Pierre Fontaine, 75009 Paris, France";julia@frichti.co;01/01/1970;00:00
Rania;"26 Rue Godot de Mauroy, Paris, France";;01/01/1970;00:00
"Casa Milano";"178 Rue de Grenelle, 75007 Paris, France";;01/01/1970;00:00
Alancienne;"42 Avenue Pasteur, Courbevoie, France";contact@alancienne.co;01/01/1970;00:00
Comoncloud;"27 Rue du Chemin Vert, 75011 Paris, France";"Adrien Rogissart";01/01/1970;00:00
"400 coups de la Cinémathèque";"21 Rue de Bercy, Paris, France";"Séverine Haiat";01/01/1970;00:00
"L'Etoile Des Gourmets 2";"20 Rue du Vertbois, 75003 Paris, France";"Mathieu Robbe";01/01/1970;00:00
"Etoile Des Gourmets";"7 Rue du Grand Prieuré, 75011 Paris, France";m.robbe@etoiledesgourmets.com;01/01/1970;00:00
"Glaces Glazed";"54 Rue des Martyrs, 75009 Paris, France";"Florence de Dreux-Brézé";01/01/1970;00:00
"Hugo Desnoyer";"12 Rue de Campo-Formio, 75013 Paris, France";"Gilles Penot";01/01/1970;00:00
"Hugo Desnoyer Docteur Blanche";"28 Rue du Docteur Blanche, Paris, France";"Gilles Penot";01/01/1970;00:00
"La Caisse Tactile";"22 Rue Jean-Baptiste Huet, Villiers-sur-Orge, France";"Elid Or";01/01/1970;00:00
"Hugo Desnoyer Boulard";"45 Rue Boulard, Paris, France";"Gilles Penot";01/01/1970;00:00
